zipcode,median_income
ZCTA5 03865,81216
ZCTA5 03867,47878
ZCTA5 03868,58016
ZCTA5 03869,65903
ZCTA5 03870,100585
ZCTA5 03871,0
ZCTA5 03872,57404
ZCTA5 03873,95577
ZCTA5 03874,56184
ZCTA5 03875,74479
ZCTA5 03878,60976
ZCTA5 03882,45375
ZCTA5 03883,30074
ZCTA5 03884,89333
ZCTA5 03885,103583
ZCTA5 03886,51836
ZCTA5 03887,73646
ZCTA5 03890,55673
ZCTA5 03894,51123
ZCTA5 03901,65000
ZCTA5 03902,71080
ZCTA5 03903,74921
ZCTA5 03904,67599
ZCTA5 03905,70903
ZCTA5 03906,72344
ZCTA5 03907,65859
ZCTA5 03908,77460
ZCTA5 03909,83037
ZCTA5 03910,56795
ZCTA5 03911,0
ZCTA5 04001,60625
ZCTA5 04002,61349
ZCTA5 04003,80179
ZCTA5 04005,48451
ZCTA5 04006,42708
ZCTA5 04008,57875
ZCTA5 04009,48171
ZCTA5 04010,52500
ZCTA5 04011,58502
ZCTA5 04015,44317
ZCTA5 04017,51875
ZCTA5 04019,0
ZCTA5 04020,37266
ZCTA5 04021,116250
ZCTA5 04022,54615
ZCTA5 04024,65250
ZCTA5 04027,64750
ZCTA5 04029,53113
ZCTA5 04030,63983
ZCTA5 04032,75147
ZCTA5 04037,44801
ZCTA5 04038,75026
ZCTA5 04039,61274
ZCTA5 04040,47339
ZCTA5 04041,42097
ZCTA5 04042,58333
ZCTA5 04043,68617
ZCTA5 04046,69089
ZCTA5 04047,39258
ZCTA5 04048,54938
ZCTA5 04049,61845
ZCTA5 04050,49500
ZCTA5 04051,55347
ZCTA5 04055,58102
ZCTA5 04056,55000
ZCTA5 04057,0
ZCTA5 04061,69557
ZCTA5 04062,68364
ZCTA5 04063,40625
ZCTA5 04064,43991
ZCTA5 04066,77969
ZCTA5 04068,40329
ZCTA5 04069,81833
ZCTA5 04071,67032
ZCTA5 04072,59740
ZCTA5 04073,41376
ZCTA5 04074,84029
ZCTA5 04076,55000
ZCTA5 04079,70234
ZCTA5 04083,55679
ZCTA5 04084,62083
ZCTA5 04085,61486
ZCTA5 04086,69132
ZCTA5 04087,53017
ZCTA5 04088,48315
ZCTA5 04090,62524
ZCTA5 04091,50156
ZCTA5 04092,48074
ZCTA5 04093,67633
ZCTA5 04095,40052
ZCTA5 04096,77143
ZCTA5 04097,96346
ZCTA5 04101,35162
ZCTA5 04102,48307
ZCTA5 04103,59017
ZCTA5 04105,103211
ZCTA5 04106,56310
ZCTA5 04107,106088
ZCTA5 04108,53438
ZCTA5 04109,62788
ZCTA5 04110,157607
